Seizure file	Match ID
KEN, 08-10, 1.5t	AVO185
KEN, 08-10, 1.5t	AVO187
KEN, 08-10, 1.5t	AVO188
KEN, 08-10, 1.5t	AVO189
KEN, 08-10, 1.5t	AVO190
KEN, 08-10, 1.5t	AVO191
KEN, 08-10, 1.5t	AVO192
KEN, 08-10, 1.5t	AVO193
KEN, 08-10, 1.5t	AVO195
KEN, 08-10, 1.5t	AVO196
KEN, 08-10, 1.5t	AVO197
KEN, 08-10, 1.5t	AVO198
KEN, 08-10, 1.5t	AVO200
KEN, 08-10, 1.5t	AVO202
KEN, 08-10, 1.5t	AVO203
KEN, 08-10, 1.5t	AVO205
KEN, 08-10, 1.5t	AVO206
KEN, 08-10, 1.5t	AVO210
KEN, 08-10, 1.5t	AVO214
KEN, 08-10, 1.5t	AVO215
KEN, 08-10, 1.5t	AVO218
KEN, 05-11, 1.3t	PIL01
KEN, 05-11, 1.3t	PIL03
KEN, 05-11, 1.3t	PIL05-PIL058
KEN, 05-11, 1.3t	PIL08
KEN, 05-11, 1.3t	PIL10
KEN, 05-11, 1.3t	PIL11
KEN, 05-11, 1.3t	PIL12
KEN, 05-11, 1.3t	PIL14
KEN, 05-11, 1.3t	PIL15
KEN, 05-11, 1.3t	PIL18
KEN, 05-11, 1.3t	PIL20
KEN, 05-11, 1.3t	PIL23
KEN, 05-11, 1.3t	PIL24
KEN, 05-11, 1.3t	PIL25
KEN, 05-11, 1.3t	PIL26
KEN, 05-11, 1.3t	PIL27
KEN, 05-11, 1.3t	PIL29
KEN, 05-11, 1.3t	PIL31
KEN, 05-11, 1.3t	PIL34
KEN, 05-11, 1.3t	PIL35
KEN, 05-11, 1.3t	PIL37
KEN, 05-11, 1.3t	PIL40
KEN, 05-11, 1.3t	PIL41
KEN, 05-11, 1.3t	PIL43
KEN, 05-11, 1.3t	PIL47
KEN, 05-11, 1.3t	PIL48
KEN, 05-11, 1.3t	PIL49
KEN, 05-11, 1.3t	PIL50
KEN, 05-11, 1.3t	PIL52
KEN, 05-11, 1.3t	PIL53
KEN, 05-11, 1.3t	PIL57
KEN, 05-11, 1.3t	PIL59
KEN, 05-11, 1.3t	PIL62
KEN, 05-11, 1.3t	PIL63
KEN, 05-11, 1.3t	PIL64
KEN, 05-11, 1.3t	PIL67
KEN, 05-11, 1.3t	PIL70
KEN, 05-11, 1.3t	PIL74
KEN, 05-11, 1.3t	PIL76
DRC, tissue, 2012	G01
DRC, tissue, 2012	G04
DRC, tissue, 2012	G05
DRC, tissue, 2012	G08-G17
DRC, tissue, 2012	G09
DRC, tissue, 2012	G12
DRC, tissue, 2012	G13
DRC, tissue, 2012	G14
DRC, tissue, 2012	G15
DRC, tissue, 2012	G19
